title,author,rating,desc,img,mood
Atomic Habits,James Clear,4.8,Tiny changes, remarkable results.,https://m.media-amazon.com/images/I/91bYsX41DVL.jpg,motivational
Can't Hurt Me,David Goggins,4.7,Master your mind and defy the odds.,https://m.media-amazon.com/images/I/81o1oy0y9-L.jpg,motivational
Make Your Bed,William H. McRaven,4.6,Small things that can change your life.,https://m.media-amazon.com/images/I/81r+LN7DhsL.jpg,motivational
Ikigai,Héctor García,4.3,The Japanese secret to a long and happy life.,https://m.media-amazon.com/images/I/81QpkIctqPL.jpg,calm
The Power of Now,Eckhart Tolle,4.5,Spiritual guide to live in the present.,https://m.media-amazon.com/images/I/71aFt4+OTOL.jpg,calm
Stillness is the Key,Ryan Holiday,4.4,Stillness is essential to self-mastery.,https://m.media-amazon.com/images/I/81mqK0+pT1L.jpg,calm
Sapiens,Yuval Noah Harari,4.6,A brief history of humankind.,https://m.media-amazon.com/images/I/713jIoMO3UL.jpg,curious
The Psychology of Money,Morgan Housel,4.5,Timeless lessons on wealth and happiness.,https://m.media-amazon.com/images/I/71g2ednj0JL.jpg,curious
Homo Deus,Yuval Noah Harari,4.5,Explores the future of mankind.,https://m.media-amazon.com/images/I/81r+LN7DhsL.jpg,curious
The Alchemist,Paulo Coelho,4.7,Follow your dreams and listen to your heart.,https://m.media-amazon.com/images/I/71aFt4+OTOL.jpg,inspirational
Think Like a Monk,Jay Shetty,4.6,Train your mind for peace and purpose.,https://m.media-amazon.com/images/I/81s6DUyQCZL.jpg,inspirational
Man’s Search for Meaning,Viktor E. Frankl,4.9,Finding purpose through suffering.,https://m.media-amazon.com/images/I/81hsDU9AYvL.jpg,inspirational
The 5 AM Club,Robin Sharma,4.4,Own your morning. Elevate your life.,https://m.media-amazon.com/images/I/71zytzrg6lL.jpg,motivational
